time,open,high,low,close,EMA,Volume,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,ADX
930776400,262.25,263.8,252.7,255.7,320.98059014482817,0,24.056455319244805,32.90241996737381,NaN,NaN,NaN,NaN,NaN,NaN,61.78089454565791
933541200,255.65,261.7,252.1,255.5,318.41272386463885,0,23.97488998462495,32.48011353760683,NaN,NaN,23.97488998462495,NaN,NaN,NaN,66.35641440125156
936133200,255.7,327.3,253.6,301.5,317.74947979151574,0,59.50322191982497,34.556523205470874,NaN,NaN,NaN,NaN,59.50322191982497,NaN,64.50723712090969
938725200,297.25,339,286.5,298.2,316.9828335251818,0,57.34056149777048,37.03860445420259,NaN,NaN,NaN,NaN,NaN,NaN,64.28152215765941
941407200,294.5,299.4,282,290.2,315.93252632811584,0,52.16935492640209,38.134022355666225,NaN,NaN,NaN,NaN,NaN,NaN,61.95579242103768
943999200,290.7,292.25,275,287.5,314.81752529564073,0,50.44212705802622,38.88134192257116,NaN,NaN,NaN,NaN,NaN,NaN,56.63908615644553
946850400,288,290.6,279.6,283.1,313.57370077424304,0,47.55558974077932,39.45292398454676,NaN,NaN,NaN,NaN,NaN,NaN,52.3857211447718
949356000,283.3,319,281.5,291.7,312.7159085870178,0,53.417088902857635,40.638725675316095,NaN,NaN,NaN,NaN,NaN,NaN,54.3833102306758
951861600,291.7,298.25,274.7,278.4,311.37018668164455,0,44.72095392546048,41.292705098203875,NaN,NaN,NaN,NaN,NaN,NaN,52.37191089669185
954709200,278.5,288.2,273.1,273.1,309.86939504707027,0,41.679081823751105,41.655242084674455,NaN,NaN,NaN,NaN,NaN,NaN,49.84904769391365
957128400,275,281.9,269.7,271.6,308.36863445698907,0,40.795573101222395,42.27776576106929,NaN,NaN,NaN,NaN,NaN,NaN,45.66275364190594
959806800,271.7,293.75,271.7,288.6,307.59339389004833,0,53.392364876954424,43.245382884162716,NaN,NaN,NaN,NaN,NaN,NaN,45.90433121888587
962571600,288.6,289.6,276.8,277,306.3936529531837,0,45.89612642894034,44.3716834677974,NaN,NaN,NaN,NaN,NaN,NaN,46.097593280469816
965077200,276.95,278.8,271,277.5,305.26056852364707,0,46.26198262313337,45.800383723499465,NaN,NaN,NaN,NaN,NaN,NaN,41.49694432860708
967755600,277.5,279.3,268.9,274,304.0346638756609,0,43.923012194242176,47.219423500285,NaN,NaN,NaN,NaN,NaN,NaN,36.135800786101704
970434000,274.1,277.4,262.42,264.25,302.47448097857614,0,37.91536016801303,48.215171370527,NaN,NaN,NaN,NaN,NaN,NaN,30.751390875575378
973029600,264.45,271,262.8,270.5,301.22057976373003,0,43.48940500447723,47.07132730514502,NaN,NaN,NaN,NaN,NaN,NaN,26.443862947154322
975621600,266.9,278.6,266.9,272.1,300.0785962435838,0,44.913771721472344,46.183699463980865,NaN,NaN,NaN,NaN,NaN,NaN,25.349447738953167
978300000,272.45,273.3,261.7,265.45,298.7206120771687,0,40.17854939091368,45.327213354303126,NaN,NaN,NaN,NaN,NaN,NaN,20.710943272304768
980978400,265.65,270.4,254.1,266.9,297.4727449368876,0,41.68664121036319,44.701821508041476,NaN,NaN,NaN,NaN,NaN,NaN,22.06586954685562
983397600,266.9,278.6,257.5,257.7,295.9130294491665,0,35.329266468838696,43.828512702902856,NaN,NaN,35.329266468838696,NaN,NaN,NaN,18.75382131829792
986158800,257.8,266.9,254.7,263.8,294.6536949609639,0,41.934574163940724,43.00833307869451,NaN,NaN,NaN,NaN,NaN,NaN,16.000848882420204
988664400,263.8,298,263.8,265.6,293.5143343742594,0,43.838793147993485,42.94532159458972,NaN,NaN,NaN,NaN,NaN,NaN,23.98188229992267
991342800,265.6,279,265,270.6,292.61573302624925,0,49.05931673892868,43.47248123138813,NaN,NaN,NaN,NaN,NaN,NaN,30.36670903392464
994021200,270.6,272.5,263.8,266.6,291.59550820169045,0,45.27185358419275,43.79221555160029,NaN,NaN,NaN,NaN,NaN,NaN,34.42104652699266
996613200,266.6,281.2,266.4,274.2,290.9133314094673,0,53.02380253533335,43.76588967005593,NaN,NaN,NaN,NaN,NaN,NaN,39.978767410216456
999464400,273.25,295.1,271.2,292.95,290.99320076595876,0,66.28019649631909,45.2218946748687,NaN,NaN,NaN,NaN,66.28019649631909,NaN,46.83503532368968
1001883600,292,293.7,274.5,279.4,290.53856544180354,0,53.91160259941224,45.76829610174576,NaN,NaN,NaN,NaN,NaN,NaN,52.32004965446826
1004565600,279.25,282,272.3,274.15,289.8958766009485,0,49.856249460249295,46.192098763603404,NaN,NaN,NaN,NaN,NaN,NaN,54.1605632707174
1007330400,274.15,281,271.7,278.7,289.45682261659755,0,53.28258474411729,47.289757661896566,NaN,NaN,NaN,NaN,NaN,NaN,54.847560626344524
1009836000,278.7,289.5,277.1,282.3,289.17616290614274,0,55.96109423999421,48.18059260729064,NaN,NaN,NaN,NaN,NaN,NaN,57.94959172986355
1012514400,282.7,307.8,281.9,296.3,289.45552906668615,0,64.79246407643737,49.600499204073856,NaN,NaN,NaN,NaN,NaN,NaN,63.08418204352926
