time,open,high,low,close,EMA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,ADX
-4323290638,20.65,20.65,20.65,20.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-4291754638,20.65,20.65,20.65,20.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-4260218638,20.65,20.65,20.65,20.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-4228682638,20.65,20.65,20.65,20.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-4196973838,20.65,20.65,20.65,20.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-4165524238,20.65,20.65,20.65,20.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-4070829838,20.65,20.65,20.65,20.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-4039121038,20.65,20.65,20.65,20.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-4007671438,20.65,20.65,20.65,20.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-3976221838,20.65,20.65,20.65,20.65,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-3913063438,20.65,20.65,20.65,20.65,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-3881527438,20.65,20.65,20.65,20.65,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-3849818638,20.65,20.65,20.65,20.65,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-3818369038,20.65,20.65,20.65,20.65,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-3723761038,20.65,20.65,20.65,20.65,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-3691965838,20.65,20.65,20.65,20.65,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-3660516238,20.65,20.65,20.65,20.65,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
-3629066638,20.65,20.65,20.65,20.65,NaN,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
